SSID,BSSID,First Time,Last Time,Channel,Encryption,Quality of Signal,Address
Munoz Network,E0:91:F5:79:2E:FC,2012-09-03T09:00:00.000Z,2012-09-22T10:00:00.000Z,2,none,0,"12 Green Village Road, NJ, US, 07940"
LACC-guest,58:6D:8F:BC:D5:55,2012-09-03T09:00:00.000Z,2012-09-22T10:00:00.000Z,6,none,0,"50 Main Street, NJ, US, 07940"
TWCWiFi,00:21:56:E6:73:02,2012-01-10T19:00:00.000Z,2015-01-05T21:00:00.000Z,1,none,4,"14 Prospect Street, NJ, 07940"
HPC9A122,02:28:18:0E:FB:96,2018-11-25T19:00:00.000Z,2019-02-10T13:00:00.000Z,10,none,5,"Loantaka Way, NJ, US, 07940-2747"
timewarnercablewifi,00:24:C3:71:2F:0D,2012-01-10T18:00:00.000Z,2012-01-19T14:00:00.000Z,165,none,6,"Park Avenue, NJ, US, 07940"
HP-nomodel.2E4331,02:2E:FE:6C:A1:6B,2014-04-01T16:00:00.000Z,2016-02-27T11:00:00.000Z,6,none,6,"69 Danforth Road, NJ, US, 07940"
seuguest,00:0B:86:B9:08:F1,2011-03-27T12:00:00.000Z,2024-02-24T14:00:00.000Z,11,none,7,"NJ 24, NJ, US, 07940"
6V2X4,00:26:62:7E:10:C7,2015-01-03T02:00:00.000Z,2015-01-02T23:00:00.000Z,11,wep,0,"146 Main Street, NJ, US, 07940"
GJY88,00:1F:90:E1:F0:49,2012-04-30T13:00:00.000Z,2013-04-29T07:00:00.000Z,11,wep,0,"76 Ridgedale Avenue, NJ, US, 07932"
06RJ8,00:26:62:DB:18:4D,2012-06-16T14:00:00.000Z,2012-09-22T10:00:00.000Z,6,wep,0,"89 Kings Road, NJ, US, 07928:07940"
VB7KL,00:26:B8:B2:53:8D,2012-01-10T18:00:00.000Z,2012-06-16T14:00:00.000Z,11,wep,0,"40 Main Street, NJ, US, 07940"
V5KQ0,00:26:B8:12:E8:98,2012-01-10T18:00:00.000Z,2012-06-16T11:00:00.000Z,6,wep,2,"98 Lincoln Place, NJ, US, 07940"
Q8D67,00:26:62:B7:EF:8F,2012-06-16T14:00:00.000Z,2020-07-21T15:00:00.000Z,6,wep,2,"31 Main Street, NJ, US, 07940"
spectralink,00:03:52:AB:5F:51,2009-05-05T20:00:00.000Z,2009-05-05T21:00:00.000Z,6,wep,7,"NJ 24, NJ, US, 07927"
